,policy_id,subscription_length,customer_age,vehicle_age,model,fuel_type,max_torque,region_code,region_density,segment,claim_status
0,POL010457,5.6,49,2.2,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
1,POL028885,1.0,35,0.8,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
2,POL007475,3.7,51,0.6,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
3,POL016604,2.3,43,0.4,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
4,POL007659,6.4,53,0.6,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
5,POL033001,0.8,41,0.4,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
6,POL041350,5.1,37,0.2,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
7,POL037527,3.7,37,2.6,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
8,POL011660,0.5,40,0.4,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
9,POL005243,3.2,35,0.8,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
10,POL039705,1.2,45,0.4,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
11,POL018978,1.9,43,0.2,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
12,POL041240,1.7,53,2.6,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
13,POL015209,10.3,47,2.6,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
14,POL018072,1.0,49,2.8,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
15,POL006422,4.1,44,2.0,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
16,POL017482,0.9,44,0.6,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
17,POL037230,0.8,39,3.8,M3,Petrol,91Nm@4250rpm,C1,4990,A,1
18,POL037874,7.1,48,1.0,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
19,POL023818,0.4,37,1.0,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
20,POL002807,0.9,36,0.2,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
21,POL041414,5.9,48,2.0,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
22,POL026789,1.0,47,0.6,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
23,POL037418,0.9,39,2.0,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
24,POL016708,1.9,39,0.4,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
25,POL013569,5.1,46,0.4,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
26,POL038812,0.4,39,0.0,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
27,POL016080,0.4,35,0.0,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
28,POL031211,10.0,49,1.0,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
29,POL035489,0.8,44,2.8,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
30,POL023674,6.3,57,1.0,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
31,POL001979,5.2,36,0.2,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
32,POL013796,0.7,47,2.0,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
33,POL040128,4.1,41,1.6,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
34,POL039798,6.1,54,1.2,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
35,POL008545,11.3,39,1.8,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
36,POL032006,2.4,37,2.0,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
37,POL033607,10.4,41,0.2,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
38,POL052863,5.9,46,0.4,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
39,POL015201,10.6,42,1.8,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
40,POL055263,1.4,41,0.2,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
41,POL043299,5.7,41,1.0,M3,Petrol,91Nm@4250rpm,C1,4990,A,0
42,POL002025,8.0,48,1.0,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
43,POL029901,8.5,43,0.4,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
44,POL001886,0.9,37,2.4,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
45,POL023837,3.7,40,1.0,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
46,POL003494,5.8,35,1.0,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
47,POL027670,11.6,40,3.6,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
48,POL054479,5.3,42,0.4,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
49,POL008524,10.2,35,0.8,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
50,POL046034,4.1,35,1.0,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
51,POL055292,10.1,44,1.0,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
52,POL052458,12.1,36,2.2,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
53,POL025122,4.4,48,0.8,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
54,POL012948,0.9,40,1.8,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
55,POL012319,0.9,39,2.4,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
56,POL043645,2.7,38,2.4,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
57,POL022707,10.8,45,0.2,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
58,POL057139,0.9,36,1.8,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
59,POL039483,1.0,36,1.0,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
60,POL000377,3.8,47,1.2,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
61,POL028103,4.8,44,0.6,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
62,POL025318,0.9,58,2.6,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
63,POL051547,1.4,37,1.8,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
64,POL014875,0.8,40,1.2,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
65,POL018074,11.4,35,6.0,M7,Petrol,113Nm@4400rpm,C1,4990,B2,1
66,POL037978,0.2,45,0.0,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
67,POL014825,0.8,46,0.6,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
68,POL034400,9.9,48,1.8,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
69,POL044023,0.8,35,0.8,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
70,POL016370,1.0,38,2.2,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
71,POL057189,11.6,46,0.0,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
72,POL002186,0.8,50,1.0,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
73,POL028312,1.0,37,1.0,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
74,POL038465,2.9,48,1.2,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
75,POL028000,5.1,40,2.2,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
76,POL008055,3.1,42,1.4,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
77,POL042415,0.7,36,1.8,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
78,POL003946,10.9,38,1.2,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
79,POL037000,5.2,44,0.6,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
80,POL020120,12.5,35,1.2,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
81,POL011132,1.0,41,3.0,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
82,POL041496,6.6,47,1.0,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
83,POL049704,12.4,39,0.6,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
84,POL036190,5.3,50,1.2,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
85,POL048124,0.8,43,1.4,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
86,POL000638,3.7,44,0.6,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
87,POL010226,7.0,57,0.2,M7,Petrol,113Nm@4400rpm,C1,4990,B2,0
