subscription_length,customer_age,claim_status,torque_Nm,torque_rpm,log_region_density,model_encoded,vehicle_age_bin_encoded,fuel_type_Diesel,fuel_type_Petrol,segment_B2,segment_C1,segment_C2,segment_Utility
5.6,49,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
1.0,35,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
3.7,51,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
2.3,43,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
6.4,53,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
0.8,41,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
5.1,37,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
3.7,37,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
0.5,40,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
3.2,35,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
1.2,45,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
1.9,43,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
1.7,53,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
10.3,47,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
1.0,49,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
4.1,44,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
0.9,44,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
0.8,39,1,91.0,4250.0,8.515391569469609,2360,2,0,1,0,0,0,0
7.1,48,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
0.4,37,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
0.9,36,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
5.9,48,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
1.0,47,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
0.9,39,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
1.9,39,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
5.1,46,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
0.4,39,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
0.4,35,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
10.0,49,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
0.8,44,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
6.3,57,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
5.2,36,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
0.7,47,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
4.1,41,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
6.1,54,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
11.3,39,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
2.4,37,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
10.4,41,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
5.9,46,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
10.6,42,0,91.0,4250.0,8.515391569469609,2360,1,0,1,0,0,0,0
1.4,41,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
5.7,41,0,91.0,4250.0,8.515391569469609,2360,0,0,1,0,0,0,0
8.0,48,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
8.5,43,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
0.9,37,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
3.7,40,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
5.8,35,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
11.6,40,0,113.0,4400.0,8.515391569469609,2934,2,0,1,1,0,0,0
5.3,42,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
10.2,35,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
4.1,35,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
10.1,44,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
12.1,36,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
4.4,48,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
0.9,40,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
0.9,39,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
2.7,38,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
10.8,45,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
0.9,36,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
1.0,36,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
3.8,47,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
4.8,44,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
0.9,58,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
1.4,37,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
0.8,40,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
11.4,35,1,113.0,4400.0,8.515391569469609,2934,2,0,1,1,0,0,0
0.2,45,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
0.8,46,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
9.9,48,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
0.8,35,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
1.0,38,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
11.6,46,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
0.8,50,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
1.0,37,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
2.9,48,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
5.1,40,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
3.1,42,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
0.7,36,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
10.9,38,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
5.2,44,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
12.5,35,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
1.0,41,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
6.6,47,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
12.4,39,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
5.3,50,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
0.8,43,0,113.0,4400.0,8.515391569469609,2934,1,0,1,1,0,0,0
3.7,44,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
7.0,57,0,113.0,4400.0,8.515391569469609,2934,0,0,1,1,0,0,0
1.0,37,0,113.0,4400.0,8.515391569469609,1070,0,0,1,0,1,0,0
12.2,43,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
10.6,36,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
5.7,39,0,113.0,4400.0,8.515391569469609,1070,0,0,1,0,1,0,0
12.2,40,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
1.7,39,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
1.2,38,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
0.9,48,0,113.0,4400.0,8.515391569469609,1070,2,0,1,0,1,0,0
8.1,40,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
0.9,40,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
11.1,40,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
5.4,36,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
9.9,47,0,113.0,4400.0,8.515391569469609,1070,0,0,1,0,1,0,0
0.1,44,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
3.6,44,0,113.0,4400.0,8.515391569469609,1070,0,0,1,0,1,0,0
8.3,35,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
1.0,44,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
5.0,35,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
6.1,59,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
0.6,43,0,113.0,4400.0,8.515391569469609,1070,0,0,1,0,1,0,0
5.6,49,0,113.0,4400.0,8.515391569469609,1070,0,0,1,0,1,0,0
8.1,36,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
1.0,40,0,113.0,4400.0,8.515391569469609,1070,0,0,1,0,1,0,0
0.8,40,0,113.0,4400.0,8.515391569469609,1070,1,0,1,0,1,0,0
0.9,53,0,113.0,4400.0,8.515391569469609,1070,0,0,1,0,1,0,0
3.7,40,0,113.0,4400.0,8.515391569469609,1070,0,0,1,0,1,0,0
3.5,35,0,113.0,4400.0,8.515391569469609,1070,0,0,1,0,1,0,0
