iter	Passed	Remaining
0	144	144529
1	155	77604
2	162	53985
3	170	42530
4	178	35472
5	186	30845
6	193	27492
7	204	25313
8	211	23265
9	219	21765
10	227	20440
11	235	19376
12	244	18534
13	253	17847
14	262	17265
15	269	16589
16	278	16115
17	286	15605
18	294	15229
19	302	14802
20	309	14406
21	315	14015
22	324	13769
23	332	13521
24	341	13309
25	352	13189
26	360	12973
27	369	12840
28	379	12695
29	386	12511
30	395	12353
31	402	12168
32	410	12018
33	418	11893
34	425	11739
35	432	11571
36	439	11445
37	445	11283
38	451	11127
39	457	10986
40	463	10851
41	469	10705
42	476	10611
43	483	10510
44	489	10387
45	496	10296
46	503	10199
47	510	10131
48	516	10024
49	522	9935
50	529	9860
51	536	9781
52	541	9678
53	546	9578
54	553	9508
55	560	9450
56	568	9405
57	576	9358
58	582	9294
59	590	9243
60	596	9178
61	603	9128
62	609	9070
63	616	9019
64	624	8985
65	631	8930
66	637	8884
67	644	8839
68	651	8792
69	658	8745
70	664	8693
71	671	8656
72	678	8616
73	686	8584
74	692	8545
75	699	8506
76	706	8463
77	712	8420
78	718	8372
79	724	8332
80	731	8295
81	738	8270
82	745	8233
83	750	8189
84	757	8153
85	764	8125
86	770	8088
87	777	8053
88	784	8029
89	792	8010
90	800	7999
91	808	7978
92	817	7974
93	824	7948
94	832	7934
95	840	7913
96	848	7898
97	855	7869
98	863	7859
99	871	7841
100	879	7831
101	886	7801
102	893	7781
103	900	7758
104	906	7730
105	914	7710
106	921	7688
107	928	7667
108	935	7649
109	943	7632
110	950	7609
111	957	7589
112	964	7574
113	972	7556
114	979	7537
115	985	7506
116	993	7499
117	999	7472
118	1006	7452
119	1013	7430
120	1019	7402
121	1027	7394
122	1033	7369
123	1041	7357
124	1048	7339
125	1055	7323
126	1062	7305
127	1069	7287
128	1077	7273
129	1083	7249
130	1090	7233
131	1096	7212
132	1105	7203
133	1111	7180
134	1117	7162
135	1125	7148
136	1131	7129
137	1138	7113
138	1145	7097
139	1154	7094
140	1160	7072
141	1167	7052
142	1175	7042
143	1181	7021
144	1188	7008
145	1195	6994
146	1204	6988
147	1211	6971
148	1217	6953
149	1224	6939
150	1230	6918
151	1236	6900
152	1243	6883
153	1250	6868
154	1256	6852
155	1263	6833
156	1271	6828
157	1277	6810
158	1285	6800
159	1292	6784
160	1299	6773
161	1305	6754
162	1311	6734
163	1319	6724
164	1326	6710
165	1333	6699
166	1340	6687
167	1347	6675
168	1355	6663
169	1362	6653
170	1369	6637
171	1374	6618
172	1383	6612
173	1390	6599
174	1397	6588
175	1404	6574
176	1411	6561
177	1418	6550
178	1425	6536
179	1432	6525
180	1439	6513
181	1447	6506
182	1454	6494
183	1462	6483
184	1468	6468
185	1475	6455
186	1482	6444
187	1488	6427
188	1495	6415
189	1501	6403
190	1509	6395
191	1517	6387
192	1525	6379
193	1531	6364
194	1539	6353
195	1545	6341
196	1553	6330
197	1560	6320
198	1567	6309
199	1575	6302
200	1581	6288
201	1589	6277
202	1595	6264
203	1602	6254
204	1610	6244
205	1617	6233
206	1624	6225
207	1631	6213
208	1638	6201
209	1645	6191
210	1652	6180
211	1660	6172
212	1667	6161
213	1675	6153
214	1682	6141
215	1689	6132
216	1695	6119
217	1703	6109
218	1709	6097
219	1716	6086
220	1723	6076
221	1730	6065
222	1738	6056
223	1744	6044
224	1751	6032
225	1759	6024
226	1765	6013
227	1774	6008
228	1781	5998
229	1790	5994
230	1797	5982
231	1804	5973
232	1812	5964
233	1820	5959
234	1827	5948
235	1835	5942
236	1841	5930
237	1847	5915
